,Player,Team,POS,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,FPTS,PassingAtt,CMP,PassingYds,PassingTD,INTS
49,Gus Edwards,BAL,RB,125.4,555.8,3.8,10.0,,0.2,0.7,87.1,0.0,0.0,,0.0,0.0
50,Mark Ingram II,NO,RB,123.4,486.3,3.4,19.4,,0.7,1.0,85.7,0.0,0.0,,0.0,0.0
51,Tyler Allgeier,ATL,RB,130.4,529.8,2.9,18.5,,0.6,1.7,85.1,0.0,0.0,,0.0,0.0
52,Rachaad White,TB,RB,98.9,402.1,3.8,20.7,,1.0,1.2,83.3,0.0,0.0,,0.0,0.0
53,Nyheim Hines,IND,RB,70.1,277.9,1.8,43.9,,1.8,1.6,80.5,0.0,0.0,,0.0,0.0
54,Rex Burkhead,HOU,RB,77.2,353.0,2.6,28.8,,1.1,0.5,79.4,0.0,0.0,,0.0,0.0
55,Ronald Jones II,KC,RB,99.0,431.7,4.1,13.0,,0.6,0.8,78.2,0.0,0.0,,0.0,0.0
56,J.D. McKissic,WAS,RB,51.8,222.3,1.5,46.3,,1.9,0.5,78.0,0.0,0.0,,0.0,0.0
57,Brian Robinson Jr.,WAS,RB,105.4,442.8,3.3,11.0,,0.4,1.2,72.2,0.0,0.0,,0.0,0.0
58,Khalil Herbert,CHI,RB,112.2,419.4,2.7,15.9,,0.5,0.9,71.5,0.0,0.0,,0.0,0.0
59,Kenyan Drake,LV,RB,79.9,322.2,2.5,26.1,,0.9,0.6,71.2,0.0,0.0,,0.0,0.0
60,Darrel Williams,ARI,RB,82.4,308.4,2.8,21.5,,0.8,0.8,68.7,0.0,0.0,,0.0,0.0
61,D'Onta Foreman,CAR,RB,82.5,393.1,2.4,7.7,,0.2,0.9,60.6,0.0,0.0,,0.0,0.0
62,Sony Michel,MIA,RB,99.5,390.1,2.6,9.2,,0.1,0.5,60.2,0.0,0.0,,0.0,0.0
63,Damien Williams,ATL,RB,78.4,287.2,2.0,20.4,,0.8,0.9,58.6,0.0,0.0,,0.0,0.0
64,Zamir White,LV,RB,76.4,324.8,2.7,11.2,,0.4,1.2,58.4,0.0,0.0,,0.0,0.0
65,Jerick McKinnon,KC,RB,42.6,201.7,1.2,27.4,,1.4,0.5,57.5,0.0,0.0,,0.0,0.0
66,Isiah Pacheco,KC,RB,61.0,265.9,2.2,15.8,,0.7,1.0,55.0,0.0,0.0,,0.0,0.0
67,Boston Scott,PHI,RB,65.8,287.9,2.9,8.5,,0.2,0.2,53.5,0.0,0.0,,0.0,0.0
68,Dontrell Hilliard,TEN,RB,45.2,233.7,1.5,26.0,,0.6,1.0,52.5,0.0,0.0,,0.0,0.0
69,Matt Breida,NYG,RB,76.0,313.5,1.5,13.0,,0.7,1.5,51.9,0.0,0.0,,0.0,0.0
70,Samaje Perine,CIN,RB,65.7,249.8,1.3,18.0,,0.6,0.5,48.4,0.0,0.0,,0.0,0.0
71,Hassan Haskins,TEN,RB,69.1,301.5,1.9,8.2,,0.4,1.1,47.9,0.0,0.0,,0.0,0.0
72,Tyrion Davis-Price,SF,RB,56.1,231.4,1.8,10.7,,0.4,1.1,43.7,0.0,0.0,,0.0,0.0
73,Chuba Hubbard,CAR,RB,53.9,214.3,1.5,13.2,,0.5,0.5,41.8,0.0,0.0,,0.0,0.0
74,D'Ernest Johnson,CLE,RB,33.8,197.1,1.4,8.9,,0.2,0.1,36.1,0.0,0.0,,0.0,0.0
75,Ke'Shawn Vaughn,TB,RB,47.2,194.6,2.0,6.8,,0.1,0.7,35.2,0.0,0.0,,0.0,0.0
76,Phillip Lindsay,IND,RB,45.3,227.9,1.5,3.9,,0.1,0.1,35.1,0.0,0.0,,0.0,0.0
77,Kyle Juszczyk,SF,RB,12.2,39.1,0.6,24.3,,1.2,0.1,35.0,0.0,0.0,,0.0,0.0
78,Justin Jackson,DET,RB,23.8,158.1,1.2,9.7,,0.4,0.2,32.8,0.0,0.0,,0.0,0.0
79,Jeff Wilson Jr.,SF,RB,41.4,150.8,1.3,9.9,,0.6,0.5,32.7,0.0,0.0,,0.0,0.0
80,Eno Benjamin,ARI,RB,40.0,180.8,1.3,6.7,,0.2,0.2,31.7,0.0,0.0,,0.0,0.0
81,Brandon Bolden,LV,RB,27.8,121.5,0.7,15.1,,0.4,1.0,30.8,0.0,0.0,,0.0,0.0
82,Craig Reynolds,DET,RB,36.6,162.7,0.6,10.4,,0.4,0.5,29.4,0.0,0.0,,0.0,0.0
83,Chris Evans,CIN,RB,27.3,99.2,0.6,15.4,,0.8,0.1,28.9,0.0,0.0,,0.0,0.0
84,Tevin Coleman,NYJ,RB,24.9,171.4,0.9,8.1,,0.1,0.3,27.8,0.0,0.0,,0.0,0.0
85,Mike Davis,BAL,RB,29.3,155.1,1.0,10.3,,0.2,0.6,27.8,0.0,0.0,,0.0,0.0
86,Ameer Abdullah,LV,RB,15.7,99.3,0.4,16.4,,0.4,0.4,27.1,0.0,0.0,,0.0,0.0
87,Ty Montgomery,NE,RB,15.5,63.6,0.4,19.9,,0.5,0.2,26.8,0.0,0.0,,0.0,0.0
88,Giovani Bernard,TB,RB,16.1,102.1,0.6,12.4,,0.6,0.2,26.6,0.0,0.0,,0.0,0.0
89,Benny Snell Jr.,PIT,RB,41.5,166.3,1.0,5.0,,0.1,0.2,26.1,0.0,0.0,,0.0,0.0
90,Travis Homer,SEA,RB,15.9,97.3,0.5,10.8,,0.4,0.1,24.5,0.0,0.0,,0.0,0.0
91,J.J. Taylor,NE,RB,22.4,121.9,1.4,4.3,,0.2,0.1,24.4,0.0,0.0,,0.0,0.0
92,Zack Moss,BUF,RB,30.2,136.6,1.0,4.7,,0.2,0.1,24.2,0.0,0.0,,0.0,0.0
93,Duke Johnson Jr.,BUF,RB,27.0,122.9,0.9,6.9,,0.2,0.5,24.1,0.0,0.0,,0.0,0.0
94,Anthony McFarland Jr.,PIT,RB,20.9,118.9,0.7,5.6,,0.4,0.1,22.7,0.0,0.0,,0.0,0.0
95,Jermar Jefferson,DET,RB,26.9,114.0,1.3,4.8,,0.0,0.0,22.7,0.0,0.0,,0.0,0.0
96,Joshua Kelley,LAC,RB,17.6,130.6,0.9,5.8,,0.2,0.8,21.8,0.0,0.0,,0.0,0.0
97,DeeJay Dallas,SEA,RB,17.6,70.7,0.5,10.1,,0.4,0.2,18.1,0.0,0.0,,0.0,0.0
98,Trey Sermon,SF,RB,20.5,84.3,0.9,5.5,,0.1,0.0,17.9,0.0,0.0,,0.0,0.0
99,Gary Brightwell,NYG,RB,22.7,87.1,0.7,5.9,,0.1,0.1,17.8,0.0,0.0,,0.0,0.0
100,Pierre Strong Jr.,NE,RB,20.5,86.6,0.8,4.3,,0.1,0.0,17.6,0.0,0.0,,0.0,0.0
101,Myles Gaskin,MIA,RB,23.0,90.9,0.5,6.6,,0.1,0.0,17.1,0.0,0.0,,0.0,0.0
102,Tory Carter,TEN,RB,9.5,44.5,0.5,6.9,,0.6,0.0,15.9,0.0,0.0,,0.0,0.0
103,Jaret Patterson,WAS,RB,6.0,88.1,0.6,4.3,,0.2,0.1,15.9,0.0,0.0,,0.0,0.0
104,Kene Nwangwu,MIN,RB,21.5,87.2,0.6,4.1,,0.1,0.1,15.8,0.0,0.0,,0.0,0.0
