"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"K.J. Osborn","MIN","45.5","579.0","4.6","0.2","2.0","0.0","0.4","84.6"
"Donovan Peoples-Jones","CLE","42.9","643.5","3.5","0.0","0.0","0.0","0.4","84.4"
"George Pickens","PIT","52.8","656.3","3.4","0.4","1.8","0.0","1.2","84.0"
"Curtis Samuel","WAS","44.3","502.1","3.4","16.6","91.8","0.8","0.5","83.9"
"Kendrick Bourne","NE","42.1","543.5","3.8","6.4","48.2","0.1","0.5","82.0"
"Julio Jones","TB","45.4","608.8","3.6","0.0","0.0","0.0","0.4","81.4"
"Parris Campbell","IND","48.3","588.3","3.6","0.5","3.3","0.0","0.1","80.6"
"Joshua Palmer","LAC","46.9","550.8","4.3","0.0","0.0","0.0","0.2","80.2"
"Rondale Moore","ARI","51.5","507.7","2.8","17.3","99.8","0.6","0.6","79.8"
"Randall Cobb","GB","42.6","545.0","4.2","0.8","3.2","0.0","0.5","78.9"
"Nick Westbrook-Ikhine","TEN","42.2","541.7","3.8","0.0","0.0","0.0","0.5","76.3"
"Christian Watson","GB","37.0","513.6","3.5","1.2","7.3","0.0","0.7","71.9"
"Alec Pierce","IND","37.3","506.3","3.5","0.0","0.0","0.0","0.3","71.0"
"KJ Hamler","DEN","39.2","507.6","3.0","3.1","20.6","0.0","0.1","70.5"
"Laviska Shenault Jr.","JAC","44.5","469.0","2.8","10.5","52.1","0.3","0.4","69.9"
"Jameson Williams","DET","37.5","514.0","2.9","0.4","2.2","0.0","0.6","67.9"
"Jamison Crowder","BUF","44.3","462.6","3.2","2.2","14.0","0.2","0.5","67.3"
"Sammy Watkins","GB","37.2","493.9","3.0","0.6","3.5","0.0","0.4","66.9"
"Devin Duvernay","BAL","41.4","469.3","2.7","4.9","34.0","0.1","0.2","66.5"
"A.J. Green","ARI","35.2","504.6","2.6","0.0","0.0","0.0","0.1","65.9"
"Byron Pringle","CHI","37.3","469.8","2.8","0.0","0.0","0.0","0.2","63.8"
"Cedrick Wilson Jr.","MIA","38.3","459.3","3.1","0.6","1.6","0.0","0.5","63.6"
"Wan'Dale Robinson","NYG","39.9","452.0","2.4","5.7","33.3","0.1","0.3","62.7"
"Sterling Shepard","NYG","46.9","483.2","2.4","0.8","3.5","0.0","0.4","62.5"
"Bryan Edwards","ATL","32.8","465.2","2.4","0.2","1.4","0.0","0.1","60.8"
"James Washington","DAL","27.1","399.9","3.3","0.4","2.4","0.0","0.1","59.6"
"Velus Jones Jr.","CHI","31.6","406.9","2.5","1.0","6.3","0.0","0.3","55.6"
"Braxton Berrios","NYJ","35.2","354.7","2.0","5.2","31.4","0.9","0.5","55.2"
"Zay Jones","JAC","35.2","422.1","2.3","0.4","0.6","0.0","0.4","55.0"
"Chris Conley","HOU","34.0","414.3","2.2","0.0","0.0","0.0","0.2","54.0"
"Nelson Agholor","NE","28.1","379.3","2.3","1.5","7.5","0.0","0.1","52.6"
"Romeo Doubs","GB","28.4","379.5","2.4","0.7","4.0","0.0","1.1","50.9"
"Olamide Zaccheaus","ATL","29.0","374.8","2.2","0.4","1.8","0.0","0.1","50.5"
"Terrace Marshall Jr.","CAR","29.6","367.6","2.3","0.0","0.0","0.0","0.1","50.3"
"Jauan Jennings","SF","28.6","325.3","2.6","0.0","0.0","0.0","0.1","48.1"
"Amari Rodgers","GB","26.3","341.3","2.3","1.5","9.4","0.0","0.4","48.0"
"David Bell","CLE","28.5","357.0","1.9","1.2","8.8","0.0","0.6","47.1"
"Isaiah McKenzie","BUF","28.2","280.9","2.2","6.8","40.2","0.3","0.2","46.7"
"Quez Watkins","PHI","25.5","352.8","1.8","0.0","0.0","0.0","0.0","46.2"
"Jalen Guyton","LAC","21.5","312.3","2.0","4.4","25.9","0.1","0.1","46.2"
"Dee Eskridge","SEA","24.2","311.7","1.5","4.3","29.1","0.1","0.3","43.1"
"James Proche II","BAL","26.0","311.6","1.8","0.0","0.0","0.0","0.1","42.0"
"Freddie Swain","SEA","25.3","303.1","1.8","0.5","3.0","0.0","0.1","41.4"
"Darius Slayton","NYG","23.6","316.3","1.7","0.3","-2.5","0.0","0.4","40.9"
"Keelan Cole Sr.","LV","19.4","274.3","1.7","0.2","0.2","0.0","0.0","37.7"
"Marquez Callaway","NO","17.5","256.3","1.7","1.8","10.6","0.1","0.0","37.3"
"Phillip Dorsett II","HOU","20.6","251.3","1.2","0.5","3.3","0.0","0.1","32.7"
