"Player","Team","REC","YDS","TDS","FL","FPTS"
"Johnny Mundt","MIN","6.9","70.5","0.7","0.0","11.0"
"Richard Rodgers","PHI","7.0","70.9","0.7","0.0","11.0"
"Kevin Rader","PIT","8.6","69.3","0.7","0.0","10.9"
"Isaiah Likely","BAL","6.8","70.8","0.7","0.0","10.9"
"Sean McKeon","DAL","7.1","71.8","0.6","0.1","10.9"
"Jesper Horsted","LV","6.9","74.2","0.5","0.0","10.7"
"Grant Calcaterra","PHI","6.6","66.6","0.7","0.0","10.6"
"Nick Muse","MIN","6.9","70.6","0.6","0.0","10.6"
"Tyree Jackson","PHI","6.5","64.8","0.7","0.1","10.3"
"Juwan Johnson","NO","4.7","52.5","0.8","0.0","10.3"
"James Mitchell","DET","6.9","62.2","0.6","0.0","9.7"
"Andrew Ogletree","IND","5.9","60.4","0.6","0.0","9.5"
"Devin Asiasi","NE","5.2","64.6","0.5","0.0","9.4"
"Cole Turner","WAS","6.1","63.8","0.5","0.0","9.4"
"Eric Tomlinson","DEN","5.9","60.0","0.6","0.0","9.3"
"John FitzPatrick","ATL","6.4","59.2","0.6","0.0","9.2"
"Ben Ellefson","MIN","5.2","54.7","0.6","0.0","9.1"
"MyCole Pruitt","ATL","6.3","61.1","0.5","0.0","8.9"
"Tommy Hudson","TEN","5.4","53.5","0.5","0.0","8.3"
"Chigoziem Okonkwo","TEN","5.3","55.7","0.5","0.0","8.2"
"Hunter Long","MIA","5.3","50.0","0.5","0.0","7.7"
"Tommy Sweeney","BUF","5.2","48.5","0.5","0.0","7.5"
"Colby Parkinson","SEA","5.4","52.4","0.4","0.1","7.5"
"Jack Stoll","PHI","5.4","58.6","0.1","0.0","6.5"
"Chris Herndon IV","NO","3.6","43.6","0.4","0.0","6.5"
"Nick Bowers","LV","4.0","42.1","0.4","0.0","6.3"
"Hunter Kampmoyer","LAC","3.8","39.6","0.4","0.0","6.2"
"Reggie Gilliam","BUF","4.2","38.7","0.4","0.0","6.2"
"Eric Saubert","DEN","4.1","39.2","0.4","0.0","6.0"
"Jace Sternberger","PIT","4.2","40.0","0.3","0.0","6.0"
"Jared Pinkney","LAR","3.8","39.2","0.3","0.0","5.8"
"Teagan Quitoriano","HOU","4.1","42.0","0.3","0.0","5.8"
"Jacob Hollister","LV","3.9","35.3","0.3","0.0","5.6"
"Jeremy Ruckert","NYJ","3.7","37.0","0.3","0.0","5.4"
"Charlie Woerner","SF","3.5","31.6","0.4","0.0","5.3"
"Miller Forristall","CLE","3.5","35.3","0.3","0.1","5.2"
"Tyler Mabry","SEA","3.6","36.5","0.2","0.0","5.1"
"Antony Auclair","HOU","3.9","38.2","0.2","0.0","5.0"
"Nakia Griffin-Stewart","CLE","3.3","33.3","0.3","0.0","5.0"
"Parker Hesse","ATL","3.6","33.6","0.2","0.0","4.8"
"Mitchell Wilcox","CIN","1.8","18.5","0.2","0.0","2.8"
"Stephen Sullivan","CAR","1.8","19.0","0.1","0.0","2.6"
"Sammis Reyes","WAS","1.3","14.0","0.1","0.0","2.1"
"Cethan Carter","MIA","0.9","9.0","0.1","0.0","1.4"
"Jordan Franks","KC","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","SF","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","ARI","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","NYG","0.0","0.0","0.0","0.0","0.0"
"Colin Thompson","CAR","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","0.0","0.0","0.0","0.0","0.0"
"Noah Togiai","PHI","0.0","0.0","0.0","0.0","0.0"
"Ryan Izzo","CAR","0.0","0.0","0.0","0.0","0.0"
"Trevon Wesco","NYJ","0.0","0.0","0.0","0.0","0.0"
""
""
