"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dontrell Hilliard","TEN","45.2","233.7","1.5","26.0","183.1","0.6","1.0","52.5"
"Matt Breida","NYG","76.0","313.5","1.5","13.0","100.5","0.7","1.5","51.9"
"Samaje Perine","CIN","65.7","249.8","1.3","18.0","126.6","0.6","0.5","48.4"
"Hassan Haskins","TEN","69.1","301.5","1.9","8.2","65.9","0.4","1.1","47.9"
"Tyrion Davis-Price","SF","56.1","231.4","1.8","10.7","95.2","0.4","1.1","43.7"
"Chuba Hubbard","CAR","53.9","214.3","1.5","13.2","91.2","0.5","0.5","41.8"
"D'Ernest Johnson","CLE","33.8","197.1","1.4","8.9","69.9","0.2","0.1","36.1"
"Ke'Shawn Vaughn","TB","47.2","194.6","2.0","6.8","45.2","0.1","0.7","35.2"
"Phillip Lindsay","IND","45.3","227.9","1.5","3.9","29.1","0.1","0.1","35.1"
"Kyle Juszczyk","SF","12.2","39.1","0.6","24.3","199.9","1.2","0.1","35.0"
"Justin Jackson","DET","23.8","158.1","1.2","9.7","77.6","0.4","0.2","32.8"
"Jeff Wilson Jr.","SF","41.4","150.8","1.3","9.9","74.3","0.6","0.5","32.7"
"Eno Benjamin","ARI","40.0","180.8","1.3","6.7","53.1","0.2","0.2","31.7"
"Brandon Bolden","LV","27.8","121.5","0.7","15.1","139.8","0.4","1.0","30.8"
"Craig Reynolds","DET","36.6","162.7","0.6","10.4","79.1","0.4","0.5","29.4"
"Chris Evans","CIN","27.3","99.2","0.6","15.4","111.5","0.8","0.1","28.9"
"Tevin Coleman","NYJ","24.9","171.4","0.9","8.1","54.7","0.1","0.3","27.8"
"Mike Davis","BAL","29.3","155.1","1.0","10.3","65.4","0.2","0.6","27.8"
"Ameer Abdullah","LV","15.7","99.3","0.4","16.4","130.0","0.4","0.4","27.1"
"Ty Montgomery","NE","15.5","63.6","0.4","19.9","156.0","0.5","0.2","26.8"
"Giovani Bernard","TB","16.1","102.1","0.6","12.4","94.6","0.6","0.2","26.6"
"Benny Snell Jr.","PIT","41.5","166.3","1.0","5.0","33.6","0.1","0.2","26.1"
"Travis Homer","SEA","15.9","97.3","0.5","10.8","91.4","0.4","0.1","24.5"
"J.J. Taylor","NE","22.4","121.9","1.4","4.3","29.3","0.2","0.1","24.4"
"Zack Moss","BUF","30.2","136.6","1.0","4.7","34.5","0.2","0.1","24.2"
"Duke Johnson Jr.","BUF","27.0","122.9","0.9","6.9","61.1","0.2","0.5","24.1"
"Anthony McFarland Jr.","PIT","20.9","118.9","0.7","5.6","40.8","0.4","0.1","22.7"
"Jermar Jefferson","DET","26.9","114.0","1.3","4.8","32.5","0.0","0.0","22.7"
"Joshua Kelley","LAC","17.6","130.6","0.9","5.8","43.2","0.2","0.8","21.8"
"DeeJay Dallas","SEA","17.6","70.7","0.5","10.1","64.9","0.4","0.2","18.1"
"Trey Sermon","SF","20.5","84.3","0.9","5.5","36.9","0.1","0.0","17.9"
"Gary Brightwell","NYG","22.7","87.1","0.7","5.9","44.9","0.1","0.1","17.8"
"Pierre Strong Jr.","NE","20.5","86.6","0.8","4.3","35.2","0.1","0.0","17.6"
"Myles Gaskin","MIA","23.0","90.9","0.5","6.6","43.6","0.1","0.0","17.1"
"Tory Carter","TEN","9.5","44.5","0.5","6.9","49.7","0.6","0.0","15.9"
"Jaret Patterson","WAS","6.0","88.1","0.6","4.3","26.5","0.2","0.1","15.9"
"Kene Nwangwu","MIN","21.5","87.2","0.6","4.1","26.0","0.1","0.1","15.8"
"Kevin Harris","NE","21.6","91.8","0.7","3.0","24.3","0.0","0.0","15.8"
"Royce Freeman","HOU","15.1","61.9","0.4","8.5","55.5","0.3","0.0","15.5"
"Demetric Felton Jr.","CLE","3.6","25.1","0.1","9.4","86.0","0.6","0.0","15.3"
"Tony Jones Jr.","NO","28.3","92.3","0.4","4.3","30.3","0.1","0.0","14.9"
"Tyler Badie","BAL","20.9","100.0","0.5","2.5","19.1","0.0","0.0","14.9"
