,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
112,Allen Lazard,WR,GB,144.29,0.6133088461421844,113.0,GB,14.0,108.0,123.0,106.0,103.0,110.0,103.0,-10.0
102,Drake London,WR,ATL,151.19,0.6282523855519797,103.0,ATL,14.0,125.0,99.0,146.0,78.0,112.0,106.0,3.0
105,Christian Kirk,WR,JAC,150.16,0.6260216832922566,106.0,JAC,11.0,121.0,101.0,118.0,108.0,112.0,106.0,0.0
124,Russell Gage,WR,TB,132.19,0.5871035089163118,125.0,TB,11.0,124.0,107.0,110.0,117.0,114.5,109.0,-16.0
104,Chase Claypool,WR,PIT,150.17,0.626043340595749,105.0,PIT,9.0,141.0,105.0,116.0,107.0,117.3,113.0,8.0
132,Chris Olave,WR,NO,127.56,0.5770761773993044,133.0,NO,14.0,144.0,110.0,138.0,97.0,122.3,116.0,-17.0
122,Kadarius Toney,WR,NYG,133.48,0.5898973010668388,123.0,NYG,9.0,152.0,108.0,119.0,111.0,122.5,117.0,-6.0
107,Treylon Burks,WR,TEN,148.50000000000003,0.6224265709125087,108.0,TEN,6.0,175.0,95.0,142.0,86.0,124.5,119.0,11.0
137,Garrett Wilson,WR,NYJ,125.83,0.5733294638951093,138.0,NYJ,10.0,161.0,109.0,189.0,102.0,140.3,128.0,-10.0
130,Jarvis Landry,WR,NO,129.63,0.5815592392222428,131.0,NO,14.0,160.0,135.0,135.0,133.0,140.8,129.0,-2.0
125,Tyler Boyd,WR,CIN,132.15,0.587016879702342,126.0,CIN,10.0,173.0,115.0,152.0,124.0,141.0,130.5,4.5
134,Marquez Valdes-Scantling,WR,KC,126.61,0.575018733567521,135.0,KC,8.0,174.0,143.0,133.0,119.0,142.3,132.0,-3.0
146,Skyy Moore,WR,KC,118.17999999999999,0.5567616267233799,147.0,KC,8.0,187.0,156.0,131.0,110.0,146.0,137.5,-9.5
129,DeVante Parker,WR,NE,130.95999999999998,0.5844396605867396,130.0,NE,10.0,169.0,144.0,143.0,148.0,151.0,144.0,14.0
123,Kenny Golladay,WR,NYG,133.06,0.5889876943201555,124.0,NYG,9.0,164.0,125.0,178.0,141.0,152.0,146.5,22.5
114,Jakobi Meyers,WR,NE,140.26,0.6045809528347245,115.0,NE,10.0,184.0,134.0,,145.0,154.3,150.0,35.0
176,Julio Jones,WR,TB,104.38000000000001,0.5268745479037896,177.0,TB,11.0,131.0,202.0,150.0,140.0,155.8,151.0,-26.0
163,George Pickens,WR,PIT,110.21000000000001,0.5395007558398919,164.0,PIT,9.0,127.0,190.0,175.0,137.0,157.3,152.0,-12.0
142,Michael Gallup,WR,DAL,124.97,0.5714669357947582,143.0,DAL,9.0,207.0,179.0,127.0,130.0,160.8,155.0,12.0
201,Christian Watson,WR,GB,90.19000000000001,0.49614283424799344,202.0,GB,14.0,185.0,160.0,172.0,129.0,161.5,156.0,-46.0
148,DJ Chark Jr.,WR,DET,116.82000000000001,0.5538162334484058,149.0,DET,6.0,179.0,139.0,184.0,149.0,162.8,160.5,11.5
119,Mecole Hardman,WR,KC,136.89000000000001,0.5972824415577664,120.0,KC,8.0,153.0,154.0,182.0,173.0,165.5,165.0,45.0
173,Rondale Moore,WR,ARI,105.7,0.5297333119647939,174.0,ARI,13.0,195.0,117.0,219.0,138.0,167.3,167.5,-6.5
209,Jameson Williams,WR,DET,86.57000000000001,0.4883028903837241,210.0,DET,6.0,202.0,142.0,191.0,135.0,167.5,169.0,-41.0
157,Jahan Dotson,WR,WAS,112.38,0.5442003906977549,158.0,WAS,14.0,198.0,158.0,205.0,143.0,176.0,178.5,20.5
139,Jalen Tolbert,WR,DAL,125.27,0.5721166548995317,140.0,DAL,9.0,165.0,166.0,222.0,151.0,176.0,178.5,38.5
162,Van Jefferson,WR,LAR,110.32000000000001,0.5397389861783088,163.0,LAR,7.0,,150.0,209.0,192.0,183.7,185.0,22.0
212,Sammy Watkins,WR,GB,85.54,0.4860721881240011,213.0,GB,14.0,158.0,182.0,213.0,189.0,185.5,187.0,-26.0
178,Joshua Palmer,WR,LAC,103.92999999999999,0.5258999692466291,179.0,LAC,8.0,,163.0,,211.0,187.0,188.5,9.5
158,Corey Davis,WR,NYJ,112.28,0.5439838176628304,159.0,NYJ,10.0,,149.0,,230.0,189.5,192.0,33.0
261,Romeo Doubs,WR,GB,64.75000000000001,0.44104665416318345,262.0,GB,14.0,201.0,189.0,169.0,201.0,190.0,194.0,-68.0
202,Alec Pierce,WR,IND,89.68,0.49503831176987817,203.0,IND,14.0,,192.0,204.0,183.0,193.0,199.0,-4.0
133,Robbie Anderson,WR,CAR,127.42999999999999,0.5767946324539024,134.0,CAR,13.0,,169.0,225.0,210.0,201.3,205.5,71.5
166,K.J. Osborn,WR,MIN,107.65,0.5339564861458229,167.0,MIN,7.0,,188.0,244.0,188.0,206.7,213.0,46.0
172,Curtis Samuel,WR,WAS,105.74000000000002,0.5298199411787637,173.0,WAS,14.0,,187.0,,228.0,207.5,214.0,41.0
203,Jamison Crowder,WR,BUF,89.21000000000001,0.4940204185057327,204.0,BUF,7.0,,186.0,230.0,217.0,211.0,220.5,16.5
141,Marvin Jones Jr.,WR,JAC,125.09,0.5717268234366676,142.0,JAC,11.0,,171.0,231.0,234.0,212.0,222.0,80.0
215,Wan'Dale Robinson,WR,NYG,82.88000000000001,0.4803113453950075,216.0,NYG,9.0,,242.0,187.0,208.0,212.3,223.0,7.0
171,Donovan Peoples-Jones,WR,CLE,106.00000000000001,0.5303830310695675,172.0,CLE,9.0,,207.0,,219.0,213.0,224.0,52.0
