,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
202,Alec Pierce,WR,IND,89.68,0.49503831176987817,203.0,IND,14.0,,192.0,204.0,183.0,193.0,199.0,-4.0
238,Baker Mayfield,QB,CAR,212.33399999999997,0.4598581879767313,239.0,CAR,13.0,136.0,210.0,242.0,209.0,199.3,203.0,-36.0
242,Zamir White,RB,LV,63.66000000000001,0.458848957633983,243.0,LV,6.0,193.0,221.0,193.0,191.0,199.5,204.0,-39.0
196,Kenyan Drake,RB,LV,84.24,0.503419688221459,197.0,LV,6.0,,197.0,181.0,226.0,201.3,205.5,8.5
133,Robbie Anderson,WR,CAR,127.42999999999999,0.5767946324539024,134.0,CAR,13.0,,169.0,225.0,210.0,201.3,205.5,71.5
285,Chuba Hubbard,RB,CAR,48.150000000000006,0.42525847991718246,286.0,CAR,13.0,,283.0,137.0,186.0,202.0,208.0,-78.0
109,Gerald Everett,TE,LAC,109.4,0.6178568798756005,110.0,LAC,8.0,218.0,184.0,223.0,187.0,203.0,209.0,99.0
224,Davis Mills,QB,HOU,217.35600000000002,0.4707344857906432,225.0,HOU,6.0,,180.0,,233.0,206.5,212.0,-13.0
166,K.J. Osborn,WR,MIN,107.65,0.5339564861458229,167.0,MIN,7.0,,188.0,244.0,188.0,206.7,213.0,46.0
172,Curtis Samuel,WR,WAS,105.74000000000002,0.5298199411787637,173.0,WAS,14.0,,187.0,,228.0,207.5,214.0,41.0
140,Hayden Hurst,TE,CIN,88.15,0.5718351099541298,141.0,CIN,10.0,171.0,291.0,186.0,184.0,208.0,215.0,74.0
99,Tyler Higbee,TE,LAR,116.49000000000001,0.6332119080517523,100.0,LAR,7.0,194.0,272.0,196.0,176.0,209.5,216.5,116.5
269,Hassan Haskins,RB,TEN,52.440000000000005,0.4345494631154464,270.0,TEN,6.0,,196.0,,223.0,209.5,216.5,-53.5
203,Jamison Crowder,WR,BUF,89.21000000000001,0.4940204185057327,204.0,BUF,7.0,,186.0,230.0,217.0,211.0,220.5,16.5
141,Marvin Jones Jr.,WR,JAC,125.09,0.5717268234366676,142.0,JAC,11.0,,171.0,231.0,234.0,212.0,222.0,80.0
215,Wan'Dale Robinson,WR,NYG,82.88000000000001,0.4803113453950075,216.0,NYG,9.0,,242.0,187.0,208.0,212.3,223.0,7.0
171,Donovan Peoples-Jones,WR,CLE,106.00000000000001,0.5303830310695675,172.0,CLE,9.0,,207.0,,219.0,213.0,224.0,52.0
189,Jonnu Smith,TE,NE,60.129999999999995,0.5111513455682659,190.0,NE,10.0,,215.0,,,215.0,225.0,35.0
