,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
179,Tyler Allgeier,RB,ATL,94.12,0.5248171040720062,180.0,ATL,14.0,176.0,170.0,115.0,134.0,148.8,142.0,-38.0
161,J.D. McKissic,RB,WAS,101.05,0.5398256153922788,162.0,WAS,14.0,186.0,132.0,132.0,147.0,149.3,143.0,-19.0
205,Khalil Herbert,RB,CHI,79.36,0.49285092411714004,206.0,CHI,14.0,197.0,140.0,,150.0,162.3,158.0,-48.0
174,Mark Ingram II,RB,NO,95.52000000000001,0.5278491265609502,175.0,NO,14.0,159.0,191.0,123.0,178.0,162.8,160.5,-14.5
147,Jamaal Williams,RB,DET,108.24000000000001,0.5553972166033552,148.0,DET,6.0,188.0,148.0,144.0,177.0,164.3,162.5,14.5
184,Gus Edwards,RB,BAL,91.64999999999999,0.5194677501093693,185.0,BAL,10.0,212.0,155.0,117.0,185.0,167.3,167.5,-17.5
208,Brian Robinson Jr.,RB,WAS,77.72999999999999,0.4893207836478696,209.0,WAS,14.0,168.0,178.0,165.0,181.0,173.0,174.5,-34.5
204,Darrel Williams,RB,ARI,79.55999999999999,0.49328407018698917,205.0,ARI,13.0,183.0,168.0,149.0,193.0,173.3,176.0,-29.0
236,Sony Michel,RB,MIA,64.78,0.4612745756251381,237.0,MIA,11.0,155.0,164.0,161.0,221.0,175.3,177.0,-60.0
240,D'Onta Foreman,RB,CAR,64.0,0.45958530595272645,241.0,CAR,13.0,204.0,174.0,160.0,203.0,185.3,186.0,-55.0
284,Tyrion Davis-Price,RB,SF,49.010000000000005,0.4271210080175337,285.0,SF,9.0,,231.0,155.0,180.0,188.7,191.0,-94.0
245,Isiah Pacheco,RB,KC,63.18000000000001,0.457809407066345,246.0,KC,8.0,182.0,194.0,,200.0,192.0,196.5,-49.5
242,Zamir White,RB,LV,63.66000000000001,0.458848957633983,243.0,LV,6.0,193.0,221.0,193.0,191.0,199.5,204.0,-39.0
196,Kenyan Drake,RB,LV,84.24,0.503419688221459,197.0,LV,6.0,,197.0,181.0,226.0,201.3,205.5,8.5
285,Chuba Hubbard,RB,CAR,48.150000000000006,0.42525847991718246,286.0,CAR,13.0,,283.0,137.0,186.0,202.0,208.0,-78.0
269,Hassan Haskins,RB,TEN,52.440000000000005,0.4345494631154464,270.0,TEN,6.0,,196.0,,223.0,209.5,216.5,-53.5
