display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Aaron Rodgers,QB,10,2025,PIT,LAC,away,3.00,45.50,00-0023459,21.25,,,4.00,,,,,2025-11-11T00:07:43Z
Matthew Stafford,QB,10,2025,LA,SF,away,-5.50,49.50,00-0026498,27.50,,6500,21.00,3.01,8.08,3.28,-2.76,2025-11-11T00:07:43Z
Geno Smith,QB,10,2025,LV,DEN,away,9.50,42.50,00-0030565,16.50,,,4.00,,,,,2025-11-11T00:07:43Z
Marcus Mariota,QB,10,2025,WAS,DET,home,8.50,49.50,00-0032268,20.50,,5300,23.00,3.33,4.96,4.40,-0.08,2025-11-11T00:07:43Z
Jared Goff,QB,10,2025,DET,WAS,away,-8.50,49.50,00-0033106,29.00,,5900,27.00,3.17,10.36,6.45,-1.73,2025-11-11T00:07:43Z
Jacoby Brissett,QB,10,2025,ARI,SEA,away,7.00,44.50,00-0033119,18.75,,4600,13.00,3.60,8.00,1.77,-5.66,2025-11-11T00:07:43Z
Lamar Jackson,QB,10,2025,BAL,MIN,away,-4.50,48.50,00-0034796,26.50,,6800,12.00,3.14,9.93,13.78,3.79,2025-11-11T00:07:43Z
Baker Mayfield,QB,10,2025,TB,NE,home,-2.50,48.50,00-0034855,25.50,,6200,14.00,3.22,10.82,4.95,-5.96,2025-11-11T00:07:43Z
Josh Allen,QB,10,2025,BUF,MIA,away,-8.50,50.50,00-0034857,29.50,,7000,24.00,3.34,14.30,14.53,0.30,2025-11-11T00:07:43Z
Sam Darnold,QB,10,2025,SEA,ARI,home,-7.00,44.50,00-0034869,25.75,,5800,9.00,3.20,6.56,2.74,-3.08,2025-11-11T00:07:43Z
Daniel Jones,QB,10,2025,IND,ATL,home,-6.50,48.50,00-0035710,27.50,,,5.00,,,,,2025-11-11T00:07:43Z
Tua Tagovailoa,QB,10,2025,MIA,BUF,home,8.50,50.50,00-0036212,21.00,,4800,2.00,3.03,2.28,2.42,0.78,2025-11-11T00:07:43Z
Jordan Love,QB,10,2025,GB,PHI,home,-1.50,45.50,00-0036264,23.50,,,16.00,,,,,2025-11-11T00:07:43Z
