display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Aaron Rodgers,QB,14,2025,PIT,BAL,away,5.50,43.50,00-0023459,19.00,13.38,5100,20.00,2.66,1.04,1.66,0.81,2025-12-08T19:59:44Z
Matthew Stafford,QB,14,2025,LA,ARI,away,-9.50,49.50,00-0026498,29.50,18.92,6900,9.00,2.81,8.28,4.93,-2.47,2025-12-08T19:59:44Z
Tyrod Taylor,QB,14,2025,NYJ,MIA,home,2.50,41.50,00-0028118,19.50,16.10,4900,23.00,3.09,3.94,5.42,1.48,2025-12-08T19:59:44Z
Kirk Cousins,QB,14,2025,ATL,SEA,home,7.00,44.50,00-0029604,18.75,12.61,4500,12.00,2.78,1.84,2.09,0.25,2025-12-08T19:59:44Z
Geno Smith,QB,14,2025,LV,DEN,home,8.50,40.50,00-0030565,16.00,11.96,4300,5.00,2.96,2.00,1.21,-0.77,2025-12-08T19:59:44Z
Dak Prescott,QB,14,2025,DAL,DET,away,3.50,55.50,00-0033077,26.00,20.50,,25.00,,,,,2025-12-08T19:59:44Z
Jared Goff,QB,14,2025,DET,DAL,home,-3.50,55.50,00-0033106,29.50,18.84,,32.00,,,,,2025-12-08T19:59:44Z
Jacoby Brissett,QB,14,2025,ARI,LA,home,9.50,49.50,00-0033119,20.00,15.87,5700,11.00,3.01,8.76,2.70,-6.85,2025-12-08T19:59:44Z
Patrick Mahomes II,QB,14,2025,KC,HOU,home,-4.50,41.50,00-0033873,23.00,19.07,,1.00,,,,,2025-12-08T19:59:44Z
Lamar Jackson,QB,14,2025,BAL,PIT,home,-5.50,43.50,00-0034796,24.50,18.12,6700,28.00,2.64,4.61,5.93,1.33,2025-12-08T19:59:44Z
Baker Mayfield,QB,14,2025,TB,NO,home,-7.50,41.50,00-0034855,24.50,17.55,5800,10.00,2.97,4.96,5.79,0.87,2025-12-08T19:59:44Z
Josh Allen,QB,14,2025,BUF,CIN,home,-6.00,54.50,00-0034857,30.25,24.14,7700,27.00,3.01,12.99,15.95,2.95,2025-12-08T19:59:44Z
Sam Darnold,QB,14,2025,SEA,ATL,away,-7.00,44.50,00-0034869,25.75,15.77,5500,17.00,3.00,5.55,3.81,-1.32,2025-12-08T19:59:44Z
Daniel Jones,QB,14,2025,IND,JAX,away,-2.50,44.50,00-0035710,23.50,16.50,6200,24.00,2.61,3.80,4.53,0.66,2025-12-08T19:59:44Z
Tua Tagovailoa,QB,14,2025,MIA,NYJ,away,-2.50,41.50,00-0036212,22.00,13.16,5200,15.00,2.78,1.58,1.41,-0.18,2025-12-08T19:59:44Z
Jordan Love,QB,14,2025,GB,CHI,home,-6.50,44.50,00-0036264,25.50,17.45,5900,26.00,2.91,6.67,5.58,-1.06,2025-12-08T19:59:44Z
Justin Herbert,QB,14,2025,LAC,PHI,home,2.50,41.50,00-0036355,19.50,16.30,,13.00,,,,,2025-12-08T19:59:44Z
Jalen Hurts,QB,14,2025,PHI,LAC,away,-2.50,41.50,00-0036389,22.00,20.32,,3.00,,,,,2025-12-08T19:59:44Z
Joe Burrow,QB,14,2025,CIN,BUF,away,6.00,54.50,00-0036442,24.25,18.36,6500,2.00,2.73,6.17,6.39,0.21,2025-12-08T19:59:44Z
Trevor Lawrence,QB,14,2025,JAX,IND,home,2.50,44.50,00-0036971,21.00,17.03,5400,18.00,3.24,5.36,5.88,0.41,2025-12-08T19:59:44Z
C.J. Stroud,QB,14,2025,HOU,KC,away,4.50,41.50,00-0039163,18.50,16.02,,16.00,,,,,2025-12-08T19:59:44Z
Bo Nix,QB,14,2025,DEN,LV,away,-8.50,40.50,00-0039732,24.50,18.19,6100,14.00,3.05,6.06,6.47,0.45,2025-12-08T19:59:44Z
Jayden Daniels,QB,14,2025,WAS,MIN,away,-1.50,43.50,00-0039910,22.50,17.43,6000,6.00,2.87,5.40,5.82,0.42,2025-12-08T19:59:44Z
Caleb Williams,QB,14,2025,CHI,GB,away,6.50,44.50,00-0039918,19.00,16.20,5600,7.00,2.88,2.05,4.09,1.65,2025-12-08T19:59:44Z
J.J. McCarthy,QB,14,2025,MIN,WAS,home,1.50,43.50,00-0039923,21.00,14.19,4700,29.00,3.24,3.60,2.68,-0.92,2025-12-08T19:59:44Z
Shedeur Sanders,QB,14,2025,CLE,TEN,home,-4.50,33.50,00-0040668,19.00,13.11,4400,21.00,2.98,1.60,2.53,0.92,2025-12-08T19:59:44Z
Cam Ward,QB,14,2025,TEN,CLE,away,4.50,33.50,00-0040676,14.50,11.69,4800,4.00,2.50,0.14,1.12,0.97,2025-12-08T19:59:44Z
Tyler Shough,QB,14,2025,NO,TB,away,7.50,41.50,00-0040743,17.00,14.77,4600,31.00,3.18,3.45,4.01,0.52,2025-12-08T19:59:44Z
Raheem Mostert,RB,14,2025,LV,DEN,home,8.50,40.50,00-0031687,16.00,3.16,4100,3.00,0.71,0.04,0.06,0.00,2025-12-08T19:59:44Z
Ameer Abdullah,RB,14,2025,IND,JAX,away,-2.50,44.50,00-0032104,23.50,2.16,4000,4.00,0.49,0.04,0.01,-0.05,2025-12-08T19:59:44Z
Derrick Henry,RB,14,2025,BAL,PIT,home,-5.50,43.50,00-0032764,24.50,15.23,7500,11.00,1.94,6.84,9.75,2.98,2025-12-08T19:59:44Z
Aaron Jones Sr.,RB,14,2025,MIN,WAS,home,1.50,43.50,00-0033293,21.00,10.36,5300,30.00,2.05,9.54,3.00,-6.54,2025-12-08T19:59:44Z
