display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Philip Rivers,QB,15,2025,IND,SEA,away,13.50,41.50,00-0022942,14.00,10.42,4900,10.00,2.23,0.10,0.14,0.04,2025-12-14T06:24:28Z
Aaron Rodgers,QB,15,2025,PIT,MIA,home,-3.00,42.50,00-0023459,22.75,15.73,,22.00,,,,,2025-12-14T06:24:28Z
Matthew Stafford,QB,15,2025,LA,DET,home,-6.00,54.50,00-0026498,30.25,19.53,7000,26.00,2.84,8.74,3.67,-5.06,2025-12-14T06:24:28Z
Kirk Cousins,QB,15,2025,ATL,TB,away,6.00,43.50,00-0029604,18.75,13.28,,30.00,,,,,2025-12-14T06:24:28Z
Marcus Mariota,QB,15,2025,WAS,NYG,away,2.50,46.50,00-0032268,22.00,18.27,5000,29.00,3.59,8.30,5.91,-2.39,2025-12-14T06:24:28Z
Dak Prescott,QB,15,2025,DAL,MIN,home,-5.50,47.50,00-0033077,26.50,19.31,,3.00,,,,,2025-12-14T06:24:28Z
Jared Goff,QB,15,2025,DET,LA,away,6.00,54.50,00-0033106,24.25,16.64,6100,11.00,2.78,5.72,2.33,-3.39,2025-12-14T06:24:28Z
Jacoby Brissett,QB,15,2025,ARI,HOU,away,10.50,42.50,00-0033119,16.00,15.08,5500,1.00,2.73,1.74,2.44,0.70,2025-12-14T06:24:28Z
Patrick Mahomes II,QB,15,2025,KC,LAC,home,-6.00,41.50,00-0033873,23.75,19.08,6500,2.00,2.95,3.74,4.49,0.75,2025-12-14T06:24:28Z
Lamar Jackson,QB,15,2025,BAL,CIN,away,-3.00,51.50,00-0034796,27.25,20.46,6400,31.00,3.04,10.95,7.58,-3.37,2025-12-14T06:24:28Z
Baker Mayfield,QB,15,2025,TB,ATL,home,-6.00,43.50,00-0034855,24.75,17.40,,19.00,,,,,2025-12-14T06:24:28Z
Josh Allen,QB,15,2025,BUF,NE,away,-1.50,48.50,00-0034857,25.00,21.86,7500,18.00,2.82,5.06,7.04,1.98,2025-12-14T06:24:28Z
Sam Darnold,QB,15,2025,SEA,IND,home,-13.50,41.50,00-0034869,27.50,16.38,5800,17.00,2.96,5.90,2.67,-3.23,2025-12-14T06:24:28Z
Tua Tagovailoa,QB,15,2025,MIA,PIT,away,3.00,42.50,00-0036212,19.75,12.64,,27.00,,,,,2025-12-14T06:24:28Z
Jordan Love,QB,15,2025,GB,DEN,away,-1.50,42.50,00-0036264,22.00,15.36,5400,6.00,2.82,2.28,2.59,0.31,2025-12-14T06:24:28Z
Justin Herbert,QB,15,2025,LAC,KC,away,6.00,41.50,00-0036355,17.75,16.43,6300,15.00,2.61,1.27,2.04,0.77,2025-12-14T06:24:28Z
Jalen Hurts,QB,15,2025,PHI,LV,home,-12.50,38.50,00-0036389,25.50,20.53,6800,16.00,2.93,6.82,6.31,-0.50,2025-12-14T06:24:28Z
Joe Burrow,QB,15,2025,CIN,BAL,home,3.00,51.50,00-0036442,24.25,18.79,6600,20.00,2.70,6.55,5.65,-0.90,2025-12-14T06:24:28Z
Trevor Lawrence,QB,15,2025,JAX,NYJ,home,-13.50,41.50,00-0036971,27.50,17.68,5700,13.00,3.26,9.00,4.33,-4.67,2025-12-14T06:24:28Z
Brock Purdy,QB,15,2025,SF,TEN,home,-12.50,44.50,00-0037834,28.50,20.06,6200,24.00,3.18,9.64,7.35,-2.30,2025-12-14T06:24:28Z
Kenny Pickett,QB,15,2025,LV,PHI,away,12.50,38.50,00-0038102,13.00,12.28,4500,14.00,2.81,0.49,1.11,0.62,2025-12-14T06:24:28Z
Bryce Young,QB,15,2025,CAR,NO,away,-2.50,40.50,00-0039150,21.50,14.39,5100,9.00,2.90,1.73,1.70,-0.03,2025-12-14T06:24:28Z
C.J. Stroud,QB,15,2025,HOU,ARI,home,-10.50,42.50,00-0039163,26.50,17.40,5200,12.00,3.60,9.02,4.17,-4.85,2025-12-14T06:24:28Z
Bo Nix,QB,15,2025,DEN,GB,home,1.50,42.50,00-0039732,20.50,16.19,5900,7.00,2.79,1.38,2.76,1.38,2025-12-14T06:24:28Z
Drake Maye,QB,15,2025,NE,BUF,home,1.50,48.50,00-0039851,23.50,20.29,6700,5.00,2.84,4.38,6.99,2.61,2025-12-14T06:24:28Z
Caleb Williams,QB,15,2025,CHI,CLE,home,-7.50,38.50,00-0039918,23.00,16.39,5300,4.00,3.05,2.69,3.26,0.57,2025-12-14T06:24:28Z
