display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Aaron Rodgers,QB,11,2025,PIT,CIN,home,-5.50,48.50,00-0023459,27.00,,5400,29.00,3.40,10.22,7.28,-2.06,2025-11-18T15:39:42Z
Joe Flacco,QB,11,2025,CIN,PIT,away,5.50,48.50,00-0026158,21.50,,5500,27.00,3.32,9.39,3.18,-6.36,2025-11-18T15:39:42Z
Matthew Stafford,QB,11,2025,LA,SEA,home,-3.00,49.50,00-0026498,26.25,,6600,18.00,2.89,4.69,3.00,-0.28,2025-11-18T15:39:42Z
Geno Smith,QB,11,2025,LV,DAL,home,3.50,48.50,00-0030565,22.50,,,32.00,,,,,2025-11-18T15:39:42Z
Jameis Winston,QB,11,2025,NYG,GB,home,7.50,41.50,00-0031503,17.00,,4600,8.00,3.19,3.97,2.20,-1.29,2025-11-18T15:39:42Z
Marcus Mariota,QB,11,2025,WAS,MIA,away,2.50,47.50,00-0032268,22.50,,,25.00,,,,,2025-11-18T15:39:42Z
Dak Prescott,QB,11,2025,DAL,LV,away,-3.50,48.50,00-0033077,26.00,,,14.00,,,,,2025-11-18T15:39:42Z
Jared Goff,QB,11,2025,DET,PHI,away,2.50,46.50,00-0033106,22.00,,,10.00,,,,,2025-11-18T15:39:42Z
Jacoby Brissett,QB,11,2025,ARI,SF,home,3.50,48.50,00-0033119,22.50,,4900,24.00,3.63,8.20,4.44,-5.16,2025-11-18T15:39:42Z
Patrick Mahomes II,QB,11,2025,KC,DEN,away,-3.50,44.50,00-0033873,24.00,,6800,2.00,3.13,6.86,4.12,-1.71,2025-11-18T15:39:42Z
Lamar Jackson,QB,11,2025,BAL,CLE,away,-7.50,37.50,00-0034796,22.50,,6900,5.00,2.79,4.81,10.29,5.88,2025-11-18T15:39:42Z
Baker Mayfield,QB,11,2025,TB,BUF,away,6.00,46.50,00-0034855,20.25,,6400,4.00,2.75,1.64,5.10,4.28,2025-11-18T15:39:42Z
Josh Allen,QB,11,2025,BUF,TB,home,-6.00,46.50,00-0034857,26.25,,7000,20.00,3.04,7.74,12.63,5.76,2025-11-18T15:39:42Z
Sam Darnold,QB,11,2025,SEA,LA,away,3.00,49.50,00-0034869,23.25,,5700,11.00,3.11,5.00,1.18,-3.18,2025-11-18T15:39:42Z
Tua Tagovailoa,QB,11,2025,MIA,WAS,home,-2.50,47.50,00-0036212,25.00,,,28.00,,,,,2025-11-18T15:39:42Z
Jordan Love,QB,11,2025,GB,NYG,away,-7.50,41.50,00-0036264,24.50,,6000,26.00,3.03,7.42,4.57,-0.64,2025-11-18T15:39:42Z
Justin Herbert,QB,11,2025,LAC,JAX,away,-3.00,43.50,00-0036355,23.25,,6300,30.00,3.28,9.70,8.09,-0.26,2025-11-18T15:39:42Z
Jalen Hurts,QB,11,2025,PHI,DET,home,-2.50,46.50,00-0036389,24.50,,,22.00,,,,,2025-11-18T15:39:42Z
Davis Mills,QB,11,2025,HOU,TEN,away,-5.50,37.50,00-0036898,21.50,,4500,17.00,3.42,5.38,3.51,-0.68,2025-11-18T15:39:42Z
Justin Fields,QB,11,2025,NYJ,NE,away,12.50,43.50,00-0036945,15.50,,,19.00,,,,,2025-11-18T15:39:42Z
