display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Aaron Rodgers,QB,12,2025,PIT,CHI,away,3.00,46.50,00-0023459,21.75,12.14,5200,30.00,2.65,1.98,0.41,-1.57,2025-11-24T20:55:36Z
Joe Flacco,QB,12,2025,CIN,NE,home,7.50,50.50,00-0026158,21.50,14.17,5500,20.00,3.01,4.50,0.78,-3.72,2025-11-24T20:55:36Z
Matthew Stafford,QB,12,2025,LA,TB,home,-7.00,49.50,00-0026498,28.25,18.54,,28.00,,,,,2025-11-24T20:55:36Z
Tyrod Taylor,QB,12,2025,NYJ,BAL,away,14.00,44.50,00-0028118,15.25,14.15,4300,19.00,3.31,2.79,2.81,0.02,2025-11-24T20:55:36Z
Kirk Cousins,QB,12,2025,ATL,NO,away,1.50,41.50,00-0029604,20.00,13.23,4400,13.00,3.14,1.68,1.74,-0.11,2025-11-24T20:55:36Z
Geno Smith,QB,12,2025,LV,CLE,home,-3.00,35.50,00-0030565,19.25,13.51,4500,2.00,3.10,1.41,1.91,0.47,2025-11-24T20:55:36Z
Jameis Winston,QB,12,2025,NYG,DET,away,14.00,50.50,00-0031503,18.25,14.57,4600,21.00,3.24,3.40,3.59,0.19,2025-11-24T20:55:36Z
Dak Prescott,QB,12,2025,DAL,PHI,home,3.00,47.50,00-0033077,22.25,17.68,6400,10.00,2.78,2.55,3.72,1.17,2025-11-24T20:55:36Z
Jared Goff,QB,12,2025,DET,NYG,home,-14.00,50.50,00-0033106,32.25,18.28,6000,29.00,3.09,13.62,5.67,-7.96,2025-11-24T20:55:36Z
Jacoby Brissett,QB,12,2025,ARI,JAX,home,2.50,47.50,00-0033119,22.50,16.92,5300,27.00,3.35,9.55,4.14,-5.41,2025-11-24T20:55:36Z
Patrick Mahomes II,QB,12,2025,KC,IND,home,-3.50,50.50,00-0033873,27.00,21.43,6800,16.00,3.19,12.26,8.24,-4.03,2025-11-24T20:55:36Z
Lamar Jackson,QB,12,2025,BAL,NYJ,home,-14.00,44.50,00-0034796,29.25,22.20,6700,22.00,2.99,10.30,12.51,2.21,2025-11-24T20:55:36Z
Baker Mayfield,QB,12,2025,TB,LA,away,7.00,49.50,00-0034855,21.25,16.72,,9.00,,,,,2025-11-24T20:55:36Z
Josh Allen,QB,12,2025,BUF,HOU,away,-5.50,43.50,00-0034857,24.50,21.53,,1.00,,,,,2025-11-24T20:55:36Z
Sam Darnold,QB,12,2025,SEA,TEN,away,-12.50,41.50,00-0034869,27.00,16.49,5400,17.00,3.31,3.92,3.13,-0.78,2025-11-24T20:55:36Z
Daniel Jones,QB,12,2025,IND,KC,away,3.50,50.50,00-0035710,23.50,18.23,6200,12.00,2.82,6.22,5.27,-0.95,2025-11-24T20:55:36Z
Jordan Love,QB,12,2025,GB,MIN,home,-6.50,41.50,00-0036264,24.00,16.43,5800,11.00,2.85,2.24,3.84,1.59,2025-11-24T20:55:36Z
Jalen Hurts,QB,12,2025,PHI,DAL,away,-3.00,47.50,00-0036389,25.25,21.84,6600,32.00,3.09,10.13,12.11,1.98,2025-11-24T20:55:36Z
