display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Philip Rivers,QB,16,2025,IND,SF,home,4.50,45.50,00-0022942,20.50,13.18,,20.00,,,,,2025-12-22T23:01:53Z
Aaron Rodgers,QB,16,2025,PIT,DET,away,7.50,52.50,00-0023459,22.50,15.87,5000,27.00,3.17,7.94,4.09,-3.85,2025-12-22T23:01:53Z
Matthew Stafford,QB,16,2025,LA,SEA,away,1.50,42.50,00-0026498,20.50,16.49,,7.00,,8.00,,,2025-12-22T23:01:53Z
Kirk Cousins,QB,16,2025,ATL,ARI,away,-2.50,48.50,00-0029604,25.50,15.06,4800,13.00,3.14,3.88,3.97,0.13,2025-12-22T23:01:53Z
Geno Smith,QB,16,2025,LV,HOU,away,14.50,39.50,00-0030565,12.50,12.34,4300,1.00,2.87,0.64,0.77,0.14,2025-12-22T23:01:53Z
Marcus Mariota,QB,16,2025,WAS,PHI,home,7.00,43.50,00-0032268,18.25,16.89,,10.00,,,,,2025-12-22T23:01:53Z
Dak Prescott,QB,16,2025,DAL,LAC,home,-1.50,50.50,00-0033077,26.00,17.98,6700,2.00,2.68,4.81,5.05,0.24,2025-12-22T23:01:53Z
Jared Goff,QB,16,2025,DET,PIT,home,-7.50,52.50,00-0033106,30.00,18.59,6300,26.00,2.95,15.04,5.29,-9.75,2025-12-22T23:01:53Z
Jacoby Brissett,QB,16,2025,ARI,ATL,home,2.50,48.50,00-0033119,23.00,18.11,5300,18.00,3.42,9.12,7.52,-1.80,2025-12-22T23:01:53Z
Lamar Jackson,QB,16,2025,BAL,NE,home,-3.50,48.50,00-0034796,26.00,17.57,,19.00,,,,,2025-12-22T23:01:53Z
Baker Mayfield,QB,16,2025,TB,CAR,away,-3.00,44.50,00-0034855,23.75,17.70,5700,8.00,3.11,4.64,6.23,0.94,2025-12-22T23:01:53Z
Josh Allen,QB,16,2025,BUF,CLE,away,-10.50,41.50,00-0034857,26.00,20.69,7200,4.00,2.87,5.24,11.59,6.38,2025-12-22T23:01:53Z
Sam Darnold,QB,16,2025,SEA,LA,home,-1.50,42.50,00-0034869,22.00,16.47,,15.00,,4.00,,,2025-12-22T23:01:53Z
Gardner Minshew II,QB,16,2025,KC,TEN,away,-3.50,37.50,00-0035289,20.50,15.67,4500,25.00,3.48,7.13,2.46,-4.64,2025-12-22T23:01:53Z
Jordan Love,QB,16,2025,GB,CHI,away,1.50,45.50,00-0036264,22.00,16.78,,24.00,,,,,2025-12-22T23:01:53Z
Justin Herbert,QB,16,2025,LAC,DAL,away,1.50,50.50,00-0036355,24.50,18.82,6000,32.00,3.14,9.30,7.28,-2.01,2025-12-22T23:01:53Z
Jalen Hurts,QB,16,2025,PHI,WAS,away,-7.00,43.50,00-0036389,25.25,21.53,,29.00,,,,,2025-12-22T23:01:53Z
Joe Burrow,QB,16,2025,CIN,MIA,away,-3.50,48.50,00-0036442,26.00,17.96,6500,21.00,2.76,5.52,6.07,0.58,2025-12-22T23:01:53Z
Trevor Lawrence,QB,16,2025,JAX,DEN,away,3.50,46.50,00-0036971,21.50,17.74,5900,6.00,3.01,3.58,3.72,0.14,2025-12-22T23:01:53Z
Brock Purdy,QB,16,2025,SF,IND,away,-4.50,45.50,00-0037834,25.00,19.43,,14.00,,,,,2025-12-22T23:01:53Z
Bryce Young,QB,16,2025,CAR,TB,home,3.00,44.50,00-0039150,20.75,16.69,5100,31.00,3.27,3.90,3.66,-0.23,2025-12-22T23:01:53Z
C.J. Stroud,QB,16,2025,HOU,LV,home,-14.50,39.50,00-0039163,27.00,18.20,5500,17.00,3.31,7.38,5.59,-1.91,2025-12-22T23:01:53Z
Bo Nix,QB,16,2025,DEN,JAX,home,-3.50,46.50,00-0039732,25.00,17.14,6100,23.00,2.81,7.16,4.62,-2.54,2025-12-22T23:01:53Z
Drake Maye,QB,16,2025,NE,BAL,away,3.50,48.50,00-0039851,22.50,18.51,,15.00,,,,,2025-12-22T23:01:53Z
Caleb Williams,QB,16,2025,CHI,GB,home,-1.50,45.50,00-0039918,23.50,16.88,,11.00,,,,,2025-12-22T23:01:53Z
J.J. McCarthy,QB,16,2025,MIN,NYG,away,-2.50,41.50,00-0039923,22.00,16.59,4900,28.00,3.39,4.80,3.76,-1.04,2025-12-22T23:01:53Z
Quinn Ewers,QB,16,2025,MIA,CIN,home,3.50,48.50,00-0040234,22.50,14.28,4000,30.00,3.57,4.60,2.74,-1.78,2025-12-22T23:01:53Z
Brady Cook,QB,16,2025,NYJ,NO,away,6.50,39.50,00-0040398,16.50,11.82,4200,9.00,2.81,1.37,0.75,-0.64,2025-12-22T23:01:53Z
Shedeur Sanders,QB,16,2025,CLE,BUF,home,10.50,41.50,00-0040668,15.50,13.11,4600,5.00,2.85,0.68,1.44,0.69,2025-12-22T23:01:53Z
Cam Ward,QB,16,2025,TEN,KC,home,3.50,37.50,00-0040676,17.00,12.78,4400,12.00,2.90,0.98,1.00,-0.00,2025-12-22T23:01:53Z
Jaxson Dart,QB,16,2025,NYG,MIN,home,2.50,41.50,00-0040691,19.50,17.07,5800,3.00,2.94,2.59,6.05,3.46,2025-12-22T23:01:53Z
Tyler Shough,QB,16,2025,NO,NYJ,home,-6.50,39.50,00-0040743,23.00,16.90,5400,22.00,3.13,5.96,6.35,0.59,2025-12-22T23:01:53Z
Kyle Juszczyk,RB,16,2025,SF,IND,away,-4.50,45.50,00-0029892,25.00,3.28,,10.00,,,,,2025-12-22T23:01:53Z
Raheem Mostert,RB,16,2025,LV,HOU,away,14.50,39.50,00-0031687,12.50,2.58,4100,9.00,0.63,0.07,0.01,-0.06,2025-12-22T23:01:53Z
Ameer Abdullah,RB,16,2025,IND,SF,home,4.50,45.50,00-0032104,20.50,4.81,,16.00,,,,,2025-12-22T23:01:53Z
Derrick Henry,RB,16,2025,BAL,NE,home,-3.50,48.50,00-0032764,26.00,14.56,,5.00,,,,,2025-12-22T23:01:53Z
Christian McCaffrey,RB,16,2025,SF,IND,away,-4.50,45.50,00-0033280,25.00,20.94,,10.00,,,,,2025-12-22T23:01:53Z
Aaron Jones Sr.,RB,16,2025,MIN,NYG,away,-2.50,41.50,00-0033293,22.00,13.72,5200,31.00,2.64,16.14,7.74,-8.40,2025-12-22T23:01:53Z
Samaje Perine,RB,16,2025,CIN,MIA,away,-3.50,48.50,00-0033526,26.00,7.44,,18.00,,1.00,0.57,-0.43,2025-12-22T23:01:53Z
Kareem Hunt,RB,16,2025,KC,TEN,away,-3.50,37.50,00-0033923,20.50,8.54,5300,20.00,1.61,0.98,5.21,4.22,2025-12-22T23:01:53Z
Jeremy McNichols,RB,16,2025,WAS,PHI,home,7.00,43.50,00-0033955,18.25,4.24,,22.00,,,,,2025-12-22T23:01:53Z
Nick Chubb,RB,16,2025,HOU,LV,home,-14.50,39.50,00-0034791,27.00,4.48,5100,23.00,0.88,0.22,0.04,-0.16,2025-12-22T23:01:53Z
Saquon Barkley,RB,16,2025,PHI,WAS,away,-7.00,43.50,00-0034844,25.25,17.06,,27.00,,,,,2025-12-22T23:01:53Z
Andrew Beck,RB,16,2025,NYJ,NO,away,6.50,39.50,00-0034959,16.50,1.64,4000,17.00,0.41,0.04,,,2025-12-22T23:01:53Z
Devin Singletary,RB,16,2025,NYG,MIN,home,2.50,41.50,00-0035250,19.50,6.42,4700,15.00,1.37,0.20,0.75,0.55,2025-12-22T23:01:53Z
Tony Pollard,RB,16,2025,TEN,KC,home,3.50,37.50,00-0035261,17.00,11.70,5400,5.00,2.17,3.81,3.24,-0.59,2025-12-22T23:01:53Z
Trayveon Williams,RB,16,2025,CLE,BUF,home,10.50,41.50,00-0035291,15.50,4.05,4000,29.00,1.01,0.21,0.06,-0.20,2025-12-22T23:01:53Z
Ty Johnson,RB,16,2025,BUF,CLE,away,-10.50,41.50,00-0035537,26.00,5.25,4200,14.00,1.25,0.18,1.46,1.25,2025-12-22T23:01:53Z
Travis Homer,RB,16,2025,CHI,GB,home,-1.50,45.50,00-0035594,23.50,0.09,,8.00,,,,,2025-12-22T23:01:53Z
D'Ernest Johnson,RB,16,2025,NE,BAL,away,3.50,48.50,00-0035628,22.50,0.05,,20.00,,,,,2025-12-22T23:01:53Z
David Montgomery,RB,16,2025,DET,PIT,home,-7.50,52.50,00-0035685,30.00,8.39,5000,12.00,1.68,1.62,3.26,1.64,2025-12-22T23:01:53Z
Josh Jacobs,RB,16,2025,GB,CHI,away,1.50,45.50,00-0035700,22.00,14.76,,12.00,,,,,2025-12-22T23:01:53Z
Rico Dowdle,RB,16,2025,CAR,TB,home,3.00,44.50,00-0036139,20.75,12.70,6300,25.00,2.02,6.18,7.55,1.34,2025-12-22T23:01:53Z
Jonathan Taylor,RB,16,2025,IND,SF,home,4.50,45.50,00-0036223,20.50,20.66,,16.00,,,,,2025-12-22T23:01:53Z
D'Andre Swift,RB,16,2025,CHI,GB,home,-1.50,45.50,00-0036275,23.50,12.66,,8.00,,,,,2025-12-22T23:01:53Z
DeeJay Dallas,RB,16,2025,JAX,DEN,away,3.50,46.50,00-0036425,21.50,0.18,4000,2.00,0.04,0.00,,,2025-12-22T23:01:53Z
Chuba Hubbard,RB,16,2025,CAR,TB,home,3.00,44.50,00-0036555,20.75,8.61,4800,25.00,1.79,3.59,2.60,-1.64,2025-12-22T23:01:53Z
Rhamondre Stevenson,RB,16,2025,NE,BAL,away,3.50,48.50,00-0036875,22.50,8.77,,20.00,,,,,2025-12-22T23:01:53Z
