"Player","Team","REC","YDS","TDS","FL","FPTS"
"Johnny Mundt","MIN","6.9","70.4","0.7","0.0","11.0"
"Kevin Rader","PIT","8.6","69.2","0.7","0.0","10.9"
"Jesper Horsted","LV","6.9","74.2","0.5","0.0","10.6"
"Nick Muse","MIN","6.9","70.6","0.6","0.0","10.6"
"Juwan Johnson","NO","4.7","52.3","0.8","0.0","10.3"
"James Mitchell","DET","6.9","62.2","0.6","0.0","9.7"
"Tommy Sweeney","BUF","6.5","61.5","0.6","0.0","9.5"
"Devin Asiasi","NE","5.2","64.6","0.5","0.0","9.4"
"Cole Turner","WAS","6.1","63.9","0.5","0.0","9.4"
"Eric Tomlinson","DEN","5.9","60.0","0.6","0.0","9.3"
"John FitzPatrick","ATL","6.4","59.2","0.6","0.0","9.2"
"Ben Ellefson","MIN","5.2","54.7","0.6","0.0","9.1"
"MyCole Pruitt","ATL","6.3","61.1","0.5","0.0","8.9"
"Hunter Long","MIA","5.9","56.2","0.5","0.0","8.6"
"Tyree Jackson","PHI","5.5","53.8","0.6","0.1","8.6"
"Tommy Hudson","TEN","5.4","53.6","0.5","0.0","8.3"
"Chigoziem Okonkwo","TEN","5.3","55.8","0.5","0.0","8.2"
"Jared Pinkney","LAR","4.9","50.3","0.4","0.0","7.5"
"Colby Parkinson","SEA","5.4","52.1","0.4","0.1","7.4"
"Jack Stoll","PHI","5.6","60.6","0.1","0.0","6.8"
"Nick Bowers","LV","4.0","42.2","0.4","0.0","6.3"
"Reggie Gilliam","BUF","4.2","38.9","0.4","0.0","6.2"
"Hunter Kampmoyer","LAC","3.8","39.6","0.4","0.0","6.2"
"Richard Rodgers","PHI","3.9","39.1","0.4","0.0","6.1"
"Eric Saubert","DEN","4.1","39.2","0.4","0.0","6.0"
"Jace Sternberger","PIT","4.2","40.0","0.3","0.0","6.0"
"Jacob Hollister","LV","3.9","35.8","0.4","0.0","5.7"
"Josh Oliver","BAL","3.7","36.0","0.3","0.0","5.6"
"Jeremy Ruckert","NYJ","3.6","36.8","0.3","0.0","5.4"
"Charlie Woerner","SF","3.5","31.6","0.4","0.0","5.3"
"Antony Auclair","HOU","4.0","38.8","0.2","0.0","5.2"
"Tyler Mabry","SEA","3.6","36.3","0.3","0.0","5.1"
"Miller Forristall","CLE","3.5","35.0","0.3","0.1","4.9"
"Parker Hesse","ATL","3.6","33.5","0.2","0.0","4.8"
"Nakia Griffin-Stewart","CLE","3.3","32.9","0.2","0.0","4.7"
"Mitchell Wilcox","CIN","1.8","18.3","0.2","0.0","2.8"
"Matt Sokol","NE","1.8","18.7","0.2","0.0","2.7"
"Stephen Sullivan","CAR","1.8","18.9","0.1","0.0","2.6"
"Cethan Carter","MIA","0.9","8.9","0.1","0.0","1.4"
"Jordan Franks","KC","0.0","0.0","0.0","0.0","0.0"
"Noah Togiai","PHI","0.0","0.0","0.0","0.0","0.0"
"Colin Thompson","CAR","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","ARI","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","NYG","0.0","0.0","0.0","0.0","0.0"
"Trevon Wesco","NYJ","0.0","0.0","0.0","0.0","0.0"
""
""
