"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Clyde Edwards-Helaire","KC","184.3","811.0","5.7","36.3","270.3","2.1","1.3","152.1"
"Rashaad Penny","SEA","189.5","958.3","6.7","19.2","143.9","0.5","1.2","151.2"
"Devin Singletary","BUF","183.6","847.7","6.0","33.1","222.3","1.3","1.3","148.1"
"AJ Dillon","GB","179.7","767.5","6.1","33.2","276.5","1.5","1.2","147.8"
"Tony Pollard","DAL","158.4","752.7","3.8","47.3","386.2","2.0","1.3","146.1"
"Cordarrelle Patterson","ATL","138.2","604.6","4.5","43.4","397.4","2.8","0.9","142.0"
"Antonio Gibson","WAS","190.5","786.5","6.0","31.1","229.3","1.3","1.8","141.5"
"Rhamondre Stevenson","NE","172.0","722.7","6.4","30.9","239.5","1.1","1.0","138.8"
"Melvin Gordon III","DEN","153.4","696.9","6.2","24.0","181.7","1.3","1.9","129.3"
"Chase Edmonds","MIA","151.2","657.2","3.6","46.1","329.2","1.6","0.9","128.1"
"Kareem Hunt","CLE","134.0","574.4","4.7","42.2","324.7","1.8","0.8","127.1"
"Dameon Pierce","HOU","183.0","676.3","4.7","26.4","206.3","0.9","1.4","118.8"
"Brian Robinson Jr.","WAS","154.0","659.2","5.1","19.7","148.1","0.6","1.2","112.5"
"James Robinson","JAC","144.5","583.4","4.9","23.0","169.6","0.7","1.2","106.7"
"Michael Carter","NYJ","134.4","553.2","3.2","32.0","268.4","1.1","0.8","106.0"
"Darrell Henderson Jr.","LAR","131.6","539.2","4.1","23.7","184.7","1.4","0.7","103.8"
"Ken Walker III","SEA","159.3","620.3","4.3","17.3","129.0","0.5","1.4","101.1"
"James Cook","BUF","110.2","474.4","3.6","29.2","235.0","1.6","1.0","100.4"
"Jamaal Williams","DET","137.7","552.6","3.4","22.8","149.2","0.8","0.8","93.9"
"Raheem Mostert","MIA","114.2","565.2","3.8","15.0","120.1","0.8","1.3","93.8"
"Kenneth Gainwell","PHI","91.9","382.3","4.0","30.8","246.1","1.3","1.1","92.4"
"Alexander Mattison","MIN","115.5","464.9","2.9","25.4","189.3","1.0","0.9","86.4"
"Mark Ingram II","NO","123.6","488.1","3.4","19.6","147.8","0.7","1.0","86.3"
"Marlon Mack","HOU","108.7","519.4","3.4","13.4","100.2","0.4","0.9","83.3"
"Tyler Allgeier","ATL","136.4","500.3","2.9","17.0","132.3","0.6","1.2","81.5"
"Nyheim Hines","IND","69.7","276.4","1.8","44.1","345.8","1.8","1.6","80.6"
"Isaiah Spiller","LAC","91.6","388.2","2.9","22.7","183.5","1.3","1.2","79.9"
"Rachaad White","TB","93.6","374.3","3.4","21.2","168.3","1.1","1.0","79.5"
"Gus Edwards","BAL","115.3","501.7","3.5","8.9","74.9","0.2","0.7","78.6"
"Rex Burkhead","HOU","74.0","316.3","2.4","29.6","239.4","1.2","0.5","75.8"
"J.D. McKissic","WAS","51.8","215.9","1.4","44.8","348.7","1.9","0.5","75.0"
"Zamir White","LV","92.5","393.6","3.5","13.4","110.6","0.5","1.2","72.0"
"Khalil Herbert","CHI","114.2","423.2","2.7","16.0","120.5","0.5","0.9","71.4"
"Darrel Williams","ARI","76.2","294.4","2.7","20.5","172.1","0.8","0.8","66.0"
"D'Onta Foreman","CAR","85.8","404.7","2.6","7.7","70.4","0.2","0.9","62.3"
"Jerick McKinnon","KC","48.2","224.0","1.6","27.9","228.8","1.4","0.5","62.0"
"Damien Williams","ATL","77.6","280.8","2.0","20.1","146.0","0.8","0.8","57.5"
"Sony Michel","MIA","95.6","363.1","2.4","8.7","57.0","0.1","0.5","56.1"
"Isiah Pacheco","KC","69.3","284.4","2.5","13.9","104.9","0.5","0.9","54.9"
"Boston Scott","PHI","67.5","293.8","3.0","8.7","65.3","0.2","0.3","54.7"
"Dontrell Hilliard","TEN","47.2","237.6","1.5","25.9","183.1","0.6","1.0","53.0"
"Matt Breida","NYG","72.4","301.4","1.5","13.0","101.2","0.7","1.5","50.4"
"Ameer Abdullah","LV","36.2","166.3","0.8","30.9","235.4","1.0","0.4","50.3"
"Ronald Jones II","KC","56.4","282.8","2.5","9.2","61.5","0.2","0.6","49.6"
"Samaje Perine","CIN","65.8","253.3","1.3","18.2","128.2","0.6","0.5","49.0"
"Hassan Haskins","TEN","66.6","270.4","1.8","8.4","65.3","0.4","0.8","44.9"
"Tyrion Davis-Price","SF","51.1","212.7","1.8","10.3","89.8","0.3","0.8","41.3"
"Chuba Hubbard","CAR","52.5","205.1","1.5","13.1","90.8","0.5","0.5","40.5"
"Mike Davis","BAL","41.8","221.5","1.6","11.9","78.9","0.2","0.7","39.5"
"Eno Benjamin","ARI","47.7","205.6","1.5","8.1","67.7","0.2","0.2","36.8"
"Ke'Shawn Vaughn","TB","47.1","198.6","1.9","6.8","46.7","0.1","0.6","35.6"
"D'Ernest Johnson","CLE","32.3","191.7","1.3","8.9","71.1","0.2","0.1","35.4"
"Jeff Wilson Jr.","SF","46.4","168.5","1.5","10.1","74.2","0.6","0.6","35.4"
"Kyle Juszczyk","SF","12.2","38.8","0.6","24.4","200.3","1.2","0.1","35.0"
"Phillip Lindsay","IND","45.0","226.9","1.5","3.9","29.2","0.1","0.1","35.0"
"Tyler Goodson","GB","0.0","170.3","1.6","7.8","63.8","0.4","0.2","34.8"
"Joshua Kelley","LAC","45.3","208.0","1.2","8.0","58.7","0.2","0.9","33.8"
"Craig Reynolds","DET","36.6","180.4","0.8","10.4","78.9","0.4","0.4","32.5"
"Brandon Bolden","LV","24.8","105.3","0.7","16.7","153.4","0.5","0.4","32.2"
"Justin Jackson","DET","25.1","150.5","1.1","9.5","74.7","0.4","0.2","31.2"
"Chris Evans","CIN","27.4","100.3","0.6","15.6","112.8","0.8","0.1","29.3"
"Tevin Coleman","NYJ","24.9","171.4","0.9","8.1","54.7","0.1","0.3","27.8"
"Travis Homer","SEA","17.2","94.2","0.6","11.6","93.1","0.5","0.1","25.3"
"J.J. Taylor","NE","22.4","121.9","1.4","4.3","29.3","0.2","0.1","24.4"
"Zack Moss","BUF","30.2","136.7","1.0","4.7","34.5","0.2","0.1","24.2"
"Duke Johnson Jr.","BUF","27.0","123.0","0.9","6.9","61.1","0.2","0.5","24.1"
"Benny Snell Jr.","PIT","37.6","149.0","0.9","4.4","30.3","0.1","0.2","23.3"
"Jermar Jefferson","DET","26.9","114.0","1.3","4.8","32.5","0.0","0.0","22.7"
"Ryquell Armstead","JAC","5.9","105.9","0.6","6.3","66.5","0.2","0.1","22.4"
"Ty Montgomery","NE","17.6","71.2","0.3","15.2","118.7","0.3","0.2","22.1"
"Pierre Strong Jr.","NE","20.4","115.8","1.0","5.1","39.2","0.1","0.1","22.0"
"Dare Ogunbowale","HOU","10.2","89.4","0.5","10.2","80.9","0.3","0.1","21.8"
"Myles Gaskin","MIA","20.6","111.2","0.6","8.8","55.3","0.1","0.3","20.5"
"Jaylen Warren","PIT","26.8","122.2","0.9","3.9","25.0","0.1","0.2","20.2"
"Anthony McFarland Jr.","PIT","18.4","102.3","0.6","5.1","37.4","0.4","0.1","20.1"
"Qadree Ollison","ATL","12.6","101.5","0.8","5.5","36.7","0.2","0.3","19.1"
"DeeJay Dallas","SEA","15.9","81.8","0.6","9.0","61.2","0.2","0.1","18.8"
"Trey Sermon","SF","20.5","84.3","0.9","6.0","40.8","0.1","0.1","18.3"
"Tony Jones Jr.","NO","28.3","113.7","0.5","5.3","37.1","0.1","0.0","18.2"
"Gary Brightwell","NYG","22.7","87.1","0.7","5.9","45.0","0.1","0.1","17.8"
"Giovani Bernard","TB","16.1","66.5","0.4","7.8","56.0","0.5","0.1","17.4"
"Trestan Ebner","CHI","7.8","69.3","0.5","6.6","50.9","0.2","0.1","16.3"
"Tory Carter","TEN","9.5","44.5","0.5","6.9","49.7","0.6","0.0","15.9"
"Jaret Patterson","WAS","6.0","88.1","0.6","4.3","26.5","0.2","0.1","15.8"
"Keaontay Ingram","ARI","25.1","102.8","0.5","3.1","25.6","0.0","0.0","15.7"
"Kene Nwangwu","MIN","21.5","84.3","0.6","3.9","24.8","0.1","0.1","15.3"
"Tyler Badie","BAL","21.1","100.9","0.5","2.6","19.9","0.0","0.0","15.1"
"Kyren Williams","LAR","15.7","66.9","0.9","3.7","28.4","0.0","0.1","14.7"
"JaMycal Hasty","SF","15.0","48.4","0.6","8.0","57.7","0.1","0.0","14.7"
"Demetric Felton Jr.","CLE","3.6","25.0","0.1","9.4","86.0","0.6","0.4","14.6"
"Darwin Thompson","SEA","0.0","75.6","0.6","3.8","28.8","0.2","0.1","14.5"
"Mike Boone","DEN","14.0","75.0","0.7","3.5","25.4","0.1","0.0","14.5"
"Darrynton Evans","CHI","18.5","80.0","0.5","3.8","27.9","0.1","0.1","14.3"
"Snoop Conner","JAC","20.2","82.2","0.4","4.6","32.8","0.1","0.1","14.2"
"Abram Smith","NO","20.7","85.9","0.6","1.9","13.7","0.1","0.1","14.0"
"Jerome Ford","CLE","17.0","84.7","0.5","2.0","18.0","0.0","0.0","13.4"
"Patrick Taylor Jr.","GB","5.3","66.6","0.6","3.0","20.5","0.1","0.1","12.6"
"Patrick Ricard","BAL","2.7","7.0","0.1","10.1","68.9","0.7","0.0","12.3"
"Dwayne Washington","NO","16.9","48.3","0.4","4.7","38.9","0.2","0.1","11.9"
"C.J. Ham","MIN","5.5","15.3","0.1","9.8","70.5","0.4","0.0","11.7"
"Ty'Son Williams","IND","13.6","64.8","0.4","2.5","20.7","0.1","0.0","11.3"
"Rico Dowdle","DAL","13.2","56.1","0.3","3.9","30.6","0.1","0.1","11.0"
"Kylin Hill","GB","11.2","43.6","0.1","6.6","49.2","0.1","0.0","10.4"
"Jake Funk","LAR","9.6","49.9","0.4","3.0","21.7","0.1","0.1","10.2"
"Justice Hill","BAL","11.0","45.8","0.4","3.4","22.3","0.1","0.0","9.9"
"Larry Rountree III","LAC","12.5","52.1","0.5","2.3","17.1","0.1","0.1","9.9"
"Trenton Cannon","TEN","10.4","21.0","0.1","5.9","51.5","0.3","0.0","9.8"
"Keith Smith","ATL","8.1","24.1","0.2","6.9","44.9","0.3","0.1","9.5"
"Antonio Williams","NYG","11.2","53.9","0.4","1.8","14.2","0.0","0.0","9.3"
"Ty Chandler","MIN","16.0","60.7","0.1","4.0","26.5","0.0","0.0","9.1"
"Royce Freeman","HOU","8.7","35.4","0.2","4.3","27.8","0.2","0.0","8.4"
"Michael Burton","KC","5.8","30.6","0.3","3.4","20.5","0.2","0.0","8.0"
"Alec Ingold","MIA","4.3","14.1","0.1","5.3","41.1","0.3","0.0","7.9"
"Andrew Beck","DEN","4.7","18.8","0.2","4.4","33.0","0.2","0.0","7.2"
"Jakob Johnson","LV","4.0","16.5","0.2","4.4","32.7","0.3","0.1","7.2"
"Giovanni Ricci","CAR","4.5","18.1","0.1","4.1","31.2","0.2","0.0","6.8"
"Ty Johnson","NYJ","5.4","22.4","0.1","3.8","29.6","0.2","0.1","6.7"
"La'Mical Perine","NYJ","4.3","17.3","0.2","3.9","26.9","0.2","0.0","6.4"
"Julius Chestnut","TEN","4.5","19.0","0.1","3.8","27.9","0.2","0.0","6.3"
"Deon Jackson","IND","8.4","36.0","0.3","1.0","7.1","0.0","0.1","6.3"
"Khari Blasingame","CHI","2.4","10.1","0.1","4.3","30.3","0.2","0.0","5.8"
"Derek Watt","PIT","2.2","8.7","0.1","4.4","32.6","0.2","0.0","5.6"
"Jason Cabinda","DET","3.0","9.9","0.1","4.5","29.4","0.2","0.0","5.6"
"Kevin Harris","NE","8.2","34.3","0.3","0.0","0.0","0.0","0.0","5.3"
"Johnny Stanton IV","CLE","2.2","9.3","0.1","3.9","27.5","0.2","0.0","5.2"
"Adam Prentice","NO","4.4","18.9","0.1","2.0","14.7","0.1","0.0","5.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.5","0.2","0.0","4.6"
"Nick Bawden","NYJ","0.0","0.0","0.0","4.3","31.5","0.2","0.0","4.4"
"Trayveon Williams","CIN","2.9","11.9","0.1","2.8","19.3","0.1","0.0","4.1"
"Mekhi Sargent","JAC","2.2","8.9","0.1","2.1","15.9","0.1","0.0","3.5"
"Godwin Igwebuike","DET","2.2","9.1","0.1","2.0","15.2","0.1","0.0","3.5"
"Jason Huntley","PHI","3.0","12.6","0.1","1.1","7.9","0.1","0.1","2.9"
"Gabe Nabers","LAC","4.4","18.9","0.2","0.0","0.0","0.0","0.0","2.9"
"Taiwan Jones","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gerrid Doaks","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly Jr.","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate McCrary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Bonnafon","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Brown","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
